Area,30,20,50,40,70,60,Total
Greater London,134592,803,3091,4108,1021,366,9389
Surrey,12225,79,1808,4439,3672,1623,11621
Essex,10558,81,979,2535,2460,3773,9828
Kent,16377,136,1317,2856,4070,4658,13037
Hertfordshire,8539,136,677,1924,2920,2181,7838
North Yorkshire,3387,92,66,404,600,4004,5166
Lancashire,12888,822,1079,1576,1548,2225,7250
Manchester,8184,506,157,631,490,17,1801
Hampshire,10426,133,935,2812,2851,2852,9583
Devon,6043,223,190,948,873,3375,5609
